case,passed,ik_success,ik_error_norm_m,fk_error_norm_m,iterations,target_x,target_y,target_z,qsol_1,qsol_2,qsol_3,qsol_4
reachable_fk_target_1,True,True,5.196792035545619e-05,5.196792035545619e-05,6,0.44293966246653627,-0.7182312253035964,0.43445618501770955,0.08659435449822966,-0.06207829764247489,0.08680461529465339,0.0039359535616074245
reachable_fk_target_2,True,True,9.154540148442773e-05,9.154540148442773e-05,5,0.5140281083379415,-0.7268728424740253,0.4752960493173667,-0.0612743257211412,0.0734005682017819,-0.08460314401449566,-0.0013326270300556575
reachable_fk_target_3,True,True,5.685396549151591e-05,5.685396549151591e-05,7,0.3608296048479754,-0.8191178653555484,0.4604278169286617,0.11538705942464471,0.10895967707306894,-0.01914854758112772,-0.0003699456747750264
reachable_fk_target_4,True,True,4.056740316098676e-05,4.056740316098676e-05,7,0.5711800827126773,-0.6146002349514537,0.44936818647503207,-0.08526929919437266,-0.09656502073804386,0.02435735927739289,0.001767712329262068
