time,phase,q1,q2,q3,d4,gripper_opening,ee_x,ee_y,ee_z,object_x,object_y,object_z,object_tilt_deg,mesh_contact_total,mesh_contact_left_fin1,mesh_contact_right_fin2
0.5060000000000003,set_vertical_pregrasp,-0.40247982393356274,0.6056226570713888,0.49063149976417775,0.09017414560153562,-0.030009537329942385,0.5364001534937944,-0.7517887609691666,0.2760500736504656,0.5355312689021163,-0.750608399718415,0.0956810427976728,0.0014083694384796081,0,0,0,0
0.5100000000000003,set_vertical_pregrasp,-0.40250682988654995,0.6056779246730203,0.4909946241425619,0.09040911020177743,-0.030017458132544556,0.5363427121012811,-0.7517202411962215,0.27576155535860297,0.5355289188075778,-0.7506106784037575,0.09568088966128184,0.001948721468494455,0,0,0,0
0.5160000000000003,set_vertical_pregrasp,-0.40256665393511853,0.6058007053273702,0.4918554194459005,0.09089704951578084,-0.03002452287361754,0.5362064257637813,-0.7515565519498711,0.27514680519549134,0.5355300517172259,-0.7506088425493299,0.0956805750975625,0.0003393940860919719,0,0,0,0
0.5200000000000004,set_vertical_pregrasp,-0.4026168549767631,0.605904059807318,0.4926309399889817,0.09129239585333429,-0.030025370360371496,0.536083370710083,-0.7514077307568502,0.2746373801544989,0.5355295346362169,-0.750609001124744,0.09568081421283638,0.0004105310896871423,0,0,0,0
0.5260000000000004,set_vertical_pregrasp,-0.4027027616372421,0.6060815969787027,0.49407091694362204,0.09196173742665009,-0.030022004909491428,0.5358541104544872,-0.7511283884081353,0.27375664779501585,0.5355293129443207,-0.7506095265925448,0.09568211377664317,0.0006712697224380684,0,0,0,0
0.5300000000000004,set_vertical_pregrasp,-0.4027642646441928,0.606209257142854,0.49519703952435096,0.09244486133632747,-0.03001777198656067,0.5356741097740113,-0.7509074291401578,0.27310859796777537,0.5355311943445016,-0.7506088017930003,0.09568295591025175,0.001305685112008612,0,0,0,0
0.5360000000000004,set_vertical_pregrasp,-0.402858323725362,0.6064055373696035,0.4971014267140116,0.09320479451751568,-0.030010238000875926,0.5353683239101197,-0.7505291697909273,0.2720705426240098,0.5355299595441162,-0.7506096440916339,0.0956837081533227,0.0004045698109833117,0,0,0,0
0.5400000000000004,set_vertical_pregrasp,-0.40291986628022397,0.6065347909752286,0.4984941711607664,0.09372509897967249,-0.03000524510240249,0.5351436235477592,-0.7502491018491106,0.27134746478353333,0.5355321458407624,-0.7506090634942814,0.09568434002827225,0.002222128266844044,0,0,0,0
0.5460000000000004,set_vertical_pregrasp,-0.4030069560610675,0.6067191906944341,0.5007336097084096,0.09451201595864575,-0.029998732487489705,0.5347805063306688,-0.7497930530225541,0.2702356187933702,0.5355289363199826,-0.750607285542572,0.09568514254662241,0.0021933906917050504,0,0,0,0
0.5500000000000004,set_vertical_pregrasp,-0.4030598599897588,0.6068323762725769,0.5023073994673625,0.0950341253289059,-0.029995334149311652,0.5345240348503326,-0.7494685338957942,0.2694859900045222,0.535530127599528,-0.7506090967802879,0.09568545936515528,0.00020666966252855652,0,0,0,0
0.5560000000000004,set_vertical_pregrasp,-0.40312922171370963,0.6069828646223719,0.5047578322905382,0.09580392069142879,-0.029991815963639826,0.5341226822693558,-0.7489569356042457,0.2683633086738944,0.5355298424162068,-0.7506100939675622,0.09568580921037925,0.0007881311192418721,0,0,0,0
0.5600000000000004,set_vertical_pregrasp,-0.4031678214756983,0.6070682833779047,0.5064341218125068,0.0963036430591902,-0.029990479833091825,0.5338467652697689,-0.7486026889436539,0.2676231483574604,0.5355308432955896,-0.7506042959643365,0.09568583895590362,0.004898857285722755,0,0,0,0
0.5660000000000004,set_vertical_pregrasp,-0.40321312012181293,0.6071716186517012,0.5089854447765751,0.09702674541955911,-0.02998977290224646,0.533424794834484,-0.7480570953994045,0.26653560823647954,0.5355303668849938,-0.7506122924429196,0.09568548561740287,0.003296893227725778,0,0,0,0
0.5700000000000004,set_vertical_pregrasp,-0.40323453916951346,0.6072231324508756,0.5106965262049797,0.09748829344001199,-0.02998999930049391,0.5331404826934114,-0.7476869566999625,0.2658306700314177,0.535529855253062,-0.7506090915228039,0.0956851031029559,0.0001597720531099797,0,0,0,0
0.5760000000000004,set_vertical_pregrasp,-0.4032532759548803,0.6072737478134349,0.5132562701060909,0.09814609316053818,-0.029991085813530504,0.5327132862273755,-0.7471270701349578,0.2648103063987968,0.5355294234090908,-0.7506087073459228,0.09568478155710003,0.0005540405526067283,0,0,0,0
0.5800000000000004,set_vertical_pregrasp,-0.40325692663985596,0.6072898143939728,0.5149466957283554,0.09856002462984612,-0.02999214544945873,0.5324299950841827,-0.7467533590902651,0.26415795904529754,0.5355305851201497,-0.7506133589837332,0.09568464884254296,0.004217815761907868,0,0,0,0
0.5860000000000004,set_vertical_pregrasp,-0.40324960176956715,0.607288188496936,0.5174409710577363,0.0991421779421829,-0.029994000014718875,0.5320103729573407,-0.7461962904580767,0.26322549789520794,0.5355283539481775,-0.7506062601730867,0.09568429216420889,0.0033280137255839635,0,0,0,0
0.5900000000000004,set_vertical_pregrasp,-0.40323660203783945,0.607270719559225,0.5190675443586028,0.09950382127593727,-0.029995302589218984,0.531735741034443,-0.7458294440132597,0.26263636471678325,0.5355304381402992,-0.7506103567832405,0.09568404878318006,0.0014011648131639655,0,0,0,0
0.5960000000000004,set_vertical_pregrasp,-0.40320584399983145,0.6072216643165481,0.5214402878052089,0.10000616794715998,-0.02999721440356748,0.5313338141771665,-0.7452893352790515,0.26180352279634994,0.5355284770960982,-0.7506090633536548,0.09568385319011992,0.001421734628110363,0,0,0,0
0.6000000000000004,set_vertical_pregrasp,-0.4031784573467148,0.6071749199115524,0.5229711786150588,0.10031439383835918,-0.029998403852827725,0.5310737153743821,-0.7449377597480028,0.2612829145375575,0.5355302816078724,-0.7506087578214843,0.09568396323887228,0.0005953012895821932,0,0,0,0
0.6060000000000004,set_vertical_pregrasp,-0.4031282341232209,0.607086017810239,0.5251824181956832,0.10073731700773562,-0.02999999877929401,0.5306970329289222,-0.7444256963625857,0.26055440457195,0.5355309119252637,-0.7506092331392102,0.09568468100669845,0.0009580747944927803,0,0,0,0
0.6100000000000004,set_vertical_pregrasp,-0.40308938549784373,0.607015643964719,0.5265958169668826,0.10099356214848179,-0.030000916804573056,0.5304556952814296,-0.7440957855447858,0.26010356297732456,0.5355288634075991,-0.7506090210011545,0.09568528082869153,0.001075249187268171,0,0,0,0
0.6160000000000004,set_vertical_pregrasp,-0.40302434821829436,0.6068959387563394,0.5286194859965944,0.10134067548274998,-0.030002064574648393,0.530109464732337,-0.7436199166681118,0.25947882280809803,0.5355300988203147,-0.7506072448556814,0.09568600095534499,0.001908003595152237,0,0,0,0
0.6200000000000004,set_vertical_pregrasp,-0.4029772346045516,0.606808187826657,0.5299020884094888,0.10154815737118746,-0.03000267919849396,0.5298896499388026,-0.7433161823991102,0.2590959843846141,0.5355286765539312,-0.7506107003917316,0.09568626577564514,0.002019053011592179,0,0,0,0
0.6260000000000004,set_vertical_pregrasp,-0.402902205329913,0.6066671551193634,0.5317237353460222,0.10182524763508624,-0.030003389164051354,0.5295770328338885,-0.7428819746377838,0.25857064228290927,0.5355303997759457,-0.7506067620500222,0.09568627928360057,0.0024890666262849612,0,0,0,0
0.6300000000000004,set_vertical_pregrasp,-0.4028500007958019,0.6065682905275807,0.5328692340993878,0.10198833314505146,-0.030003732802629145,0.5293802449231362,-0.7426072456222018,0.25825193035747157,0.5355274394097437,-0.750606935158457,0.09568614483022572,0.0031948190453292024,0,0,0,0
0.6360000000000005,set_vertical_pregrasp,-0.40276959611399754,0.6064150746085265,0.5344838244219546,0.10220251404710493,-0.030004076713699764,0.5291026786783581,-0.7422178127502216,0.25781902003441715,0.5355332441986618,-0.7506113005170716,0.09568562133321717,0.003955125837699236,0,0,0,0
0.6400000000000005,set_vertical_pregrasp,-0.40271524221209903,0.6063109435763939,0.5354915009751797,0.10232621811073396,-0.030004205597066947,0.5289293804533471,-0.7419734689517291,0.25755917553445257,0.535529611882735,-0.7506072078240301,0.09568509435924467,0.0020222329464313145,0,0,0,0
0.6460000000000005,set_vertical_pregrasp,-0.40263361582556706,0.6061538293585264,0.5369014064621662,0.10248526563882288,-0.030004271831264556,0.5286869004579491,-0.7416299361681298,0.2572101189996758,0.5355282425707788,-0.7506114410171434,0.09568420480029291,0.002722106615004903,0,0,0,0
0.6500000000000005,set_vertical_pregrasp,-0.40257968494049673,0.606049580339393,0.5377748638956891,0.10257486265471981,-0.030004244212200656,0.5285367240164708,-0.7414161556315878,0.2570030837345356,0.5355336671233742,-0.7506075101008544,0.09568359353360313,0.004152203379373799,0,0,0,0
0.6560000000000005,set_vertical_pregrasp,-0.4025003699040023,0.6058956637267426,0.5389880770237662,0.10268670791534232,-0.030004115529691358,0.5283282696869516,-0.7411180294094383,0.2567284649247217,0.5355266707307171,-0.7506105259948701,0.09568264232581096,0.0036565260400976815,0,0,0,0
0.6600000000000005,set_vertical_pregrasp,-0.4024489885627686,0.6057955836939657,0.5397341275379437,0.10274744067737215,-0.030003982309545627,0.5282002124164358,-0.7409340315041851,0.25656783389917737,0.535525694295105,-0.7506114770906185,0.0956821040049697,0.0046111607246683145,0,0,0,0
0.6660000000000005,set_vertical_pregrasp,-0.4023748200008921,0.6056506034324756,0.5407627095055954,0.1028197980014578,-0.030003727693026536,0.5280239070572131,-0.740679555147272,0.256357989223366,0.5355359886221109,-0.7506081545430011,0.09568129972513584,0.0061852812544040065,0,0,0,0
0.6700000000000005,set_vertical_pregrasp,-0.4023276397293413,0.6055580509496135,0.5413904167593334,0.10285666953976301,-0.03000352981212276,0.5279165078734845,-0.7405238293475112,0.25623734999011394,0.5355322870425301,-0.7506100625680946,0.09568075409780256,0.0022614895845076994,0,0,0,0
0.6760000000000005,set_vertical_pregrasp,-0.40226074012615054,0.6054263470368851,0.5422491740767419,0.10289677820797613,-0.03000320331170066,0.5277699063901377,-0.740310310954505,0.2560828031272477,0.5355252107383516,-0.7506083815486004,0.09567997264650718,0.004661877356288736,0,0,0,0
0.6800000000000005,set_vertical_pregrasp,-0.40221894445625184,0.6053437587588909,0.5427690445199485,0.10291441233621798,-0.030002972169793588,0.5276813993317798,-0.7401808240584627,0.2559959803316756,0.5355325847738909,-0.7506106698505399,0.09567953496874712,0.003231725767765966,0,0,0,0
0.6860000000000005,set_vertical_pregrasp,-0.402160755315577,0.6052283254675989,0.5434744228880258,0.10292887111065455,-0.03000261452250532,0.5275617008483323,-0.740004928554287,0.2558877479777219,0.535530174512123,-0.7506083399109836,0.09567909258518412,0.0008812135260941135,0,0,0,0
0.6900000000000005,set_vertical_pregrasp,-0.40212509277014546,0.6051572759138072,0.5438977373222217,0.1029314282441749,-0.030002373401428074,0.5274901448737117,-0.7398993061536706,0.2558289703321464,0.535526841571972,-0.7506095630518486,0.09567900146794202,0.0031073054032212293,0,0,0,0
0.6960000000000005,set_vertical_pregrasp,-0.4020764383739538,0.6050598810176671,0.5444669182099732,0.10292610339776746,-0.030002014329316797,0.5273943695866861,-0.7397573069189521,0.2557587636335794,0.5355343078381785,-0.7506085622627144,0.09567883553277083,0.004362126914199261,0,0,0,0
0.7000000000000005,set_vertical_pregrasp,-0.4020472725941551,0.6050011779546679,0.54480519303398,0.10291723942714621,-0.030001779912311077,0.527337754756827,-0.7396729872222725,0.25572276894646795,0.5355288816006187,-0.7506092349259623,0.09567863823992118,0.0012429475313459801,0,0,0,0
0.7060000000000005,set_vertical_pregrasp,-0.40200844365676514,0.6049225236673973,0.5452553760769404,0.10289722906003133,-0.0300014402690479,0.5272628861168496,-0.7395609759023385,0.25568311262030435,0.535531513207602,-0.7506086219890559,0.09567849878482507,0.001697724119045433,0,0,0,0
0.7100000000000005,set_vertical_pregrasp,-0.4019858132488297,0.6048763241480886,0.5455199423317072,0.10288008659986332,-0.03000122395485195,0.5272192173656467,-0.7394953358084244,0.25566520454069813,0.5355309856145595,-0.7506104057492723,0.09567851495358613,0.0015583951203504748,0,0,0,0
0.7160000000000005,set_vertical_pregrasp,-0.40195666040702893,0.6048162294425355,0.5458677948978345,0.10284972646445179,-0.030000917510554,0.5271623119851565,-0.7394093912315435,0.25564949262751197,0.5355299166545311,-0.7506090794570165,0.09567865784946353,9.706020847945017e-05,0,0,0,0
0.7200000000000005,set_vertical_pregrasp,-0.40194034251632355,0.6047821643512465,0.5460694822079265,0.10282694946323558,-0.030000726485539673,0.5271296724086099,-0.7393598458972294,0.2556455607093588,0.5355301863507712,-0.7506096721854406,0.09567897687360306,0.0005265838869979782,0,0,0,0
0.7260000000000005,set_vertical_pregrasp,-0.4019203717231971,0.6047397525238754,0.5463307362398028,0.10278984802206269,-0.030000461379394293,0.5270879409853622,-0.7392961647420464,0.2556480648624685,0.5355298073508552,-0.7506092790134331,0.0956799529829769,6.674194934174233e-05,0,0,0,0
0.7300000000000005,set_vertical_pregrasp,-0.4019099447341656,0.6047170502379581,0.5464796481377746,0.10276361235864087,-0.030000299496292102,0.5270645370453508,-0.7392602428304548,0.2556545775824951,0.5355299591310394,-0.7506084579123697,0.09568077486668002,0.0007534198091736388,0,0,0,0
0.7360000000000005,set_vertical_pregrasp,-0.40189840864317594,0.6046909296125392,0.5466688238127471,0.10272270517364826,-0.030000079442820776,0.527035400104232,-0.7392152358186465,0.2556704209653946,0.535529203131386,-0.7506118641261492,0.09568231321029085,0.002757394666896871,0,0,0,0
0.7400000000000005,set_vertical_pregrasp,-0.4018933106917898,0.60467853197256,0.5467741907965854,0.10269475937407017,-0.029999947961628647,0.5270195913709507,-0.7391906331994054,0.25568439953988653,0.535530336050357,-0.7506082540339356,0.0956831463377782,0.0011357477763302268,0,0,0,0
0.7460000000000006,set_vertical_pregrasp,-0.40188929194376394,0.6046669613097954,0.5469044267057803,0.10265237505514921,-0.029999773282286223,0.5270007138164714,-0.7391609912319463,0.2557095068868538,0.5355294281469407,-0.7506105623180407,0.09568410611104923,0.0014731730051955757,0,0,0,0
0.7500000000000006,set_vertical_pregrasp,-0.401888873066507,0.604663627384957,0.5469745237199375,0.10262408658650617,-0.029999671511212623,0.5269910299088412,-0.739145606190911,0.25572848616968014,0.535530853138637,-0.7506083898228069,0.09568474569205657,0.0012523954369637403,0,0,0,0
0.7560000000000006,set_vertical_pregrasp,-0.40189135696615336,0.6046646607478945,0.5470574941033375,0.1025820183592836,-0.029999540032857274,0.5269803383153604,-0.7391283410885813,0.25575951839463446,0.5355293514289297,-0.7506105474009851,0.09568541765336278,0.0014527045774860364,0,0,0,0
0.7600000000000006,set_vertical_pregrasp,-0.40189492366604607,0.6046690558218966,0.547099609888587,0.10255442207643414,-0.029999465887780793,0.5269754855875515,-0.7391202941565226,0.255781499807212,0.5355325158565301,-0.7506073585090862,0.09568579527486856,0.003155575347743866,0,0,0,0
0.7660000000000006,set_vertical_pregrasp,-0.40190285902569245,0.6046806642686554,0.5471455108512564,0.10251400055781391,-0.02999937372450005,0.5269711719046043,-0.7391127586039674,0.2558157797148527,0.5355275384104482,-0.750610864194588,0.09568589141537728,0.0029481351674424928,0,0,0,0
0.7700000000000006,set_vertical_pregrasp,-0.4019097108002476,0.6046914330261138,0.5471659576792206,0.10248784680082028,-0.029999324212148997,0.5269700322153378,-0.739110399994086,0.25583918004414585,0.5355324888969343,-0.7506088685153455,0.09568572498263593,0.0026451492150511295,0,0,0,0
0.7760000000000006,set_vertical_pregrasp,-0.40192205873264825,0.6047116025474666,0.5471835460935756,0.10245001081551745,-0.029999266432442787,0.5269705471969888,-0.7391102910117517,0.25587461417495794,0.5355274858301899,-0.7506103250750938,0.0956851775538125,0.002808114347765394,0,0,0,0
0.7800000000000006,set_vertical_pregrasp,-0.40193151668584964,0.6047274266190944,0.547187699678891,0.10242581139851159,-0.029999238056284173,0.5269721708271129,-0.7391121984208747,0.25589821315418604,0.535526819653963,-0.7506103996426554,0.09568472829988492,0.003182067754711256,0,0,0,0
0.7860000000000006,set_vertical_pregrasp,-0.40194728786208506,0.6047542332396572,0.5471843704880607,0.10239117466338302,-0.02999920923279891,0.5269762100623693,-0.7391175482778043,0.25593321354231785,0.5355344345172923,-0.7506084006086554,0.09568413327421736,0.004528313527081341,0,0,0,0
0.7900000000000006,set_vertical_pregrasp,-0.4019587159290714,0.6047738740975666,0.5471767312517964,0.10236924558322298,-0.029999198319948128,0.526979804548248,-0.7391225175023839,0.25595610237416394,0.5355275373471164,-0.7506100868050468,0.09568362399080725,0.0027102485994910195,0,0,0,0
0.7960000000000006,set_vertical_pregrasp,-0.40197699731274156,0.6048055380767013,0.5471586209859769,0.10233815786544112,-0.029999192960834656,0.526986289517474,-0.7391316754976066,0.2559895109749546,0.5355298756932734,-0.7506084917309606,0.09568279021581912,0.0007057729025889871,0,0,0,0
0.8000000000000006,set_vertical_pregrasp,-0.4019898168855755,0.604827866806651,0.5471428892409522,0.10231865801548377,-0.029999195910961264,0.52699120586774,-0.7391387059797765,0.25601104334332775,0.5355344707004281,-0.7506096197404838,0.09568246091549582,0.004535198115450142,0,0,0,0
0.8060000000000006,set_vertical_pregrasp,-0.4020097892492093,0.6048627884860132,0.5471149956258571,0.1022912599714617,-0.029999208777209938,0.5269992620090157,-0.7391503140085338,0.2560420610591852,0.5355271460954505,-0.750608145445078,0.0956818548654049,0.0030210956309299933,0,0,0,0
0.8100000000000006,set_vertical_pregrasp,-0.4020234881317773,0.6048868042553198,0.5470941546003115,0.10227422549502384,-0.029999222238358554,0.5270049794874595,-0.7391585910866669,0.2560618076803751,0.5355310680903913,-0.7506110293517779,0.09568145635800478,0.002239860475868483,0,0,0,0
0.8160000000000006,set_vertical_pregrasp,-0.40204443579651683,0.6049235843867949,0.5470604640879139,0.10225049685196021,-0.029999248557388898,0.5270139128477757,-0.7391715554043166,0.25608992924849083,0.5355293434051824,-0.7506083334911935,0.09568089914495184,0.001104272299500456,0,0,0,0
0.8200000000000006,set_vertical_pregrasp,-0.40205857246326054,0.6049484235295886,0.5470368659506433,0.10223587103176172,-0.0299992695372992,0.5270200232463896,-0.7391804307157265,0.2561076366166985,0.5355292600790059,-0.7506101204843832,0.09568075062885975,0.0011329344664500495,0,0,0,0
0.8260000000000006,set_vertical_pregrasp,-0.40207988671774236,0.6049858709597734,0.5470004827793271,0.10221567211071751,-0.029999305127787285,0.5270292969276337,-0.7391938918400115,0.25613259209337885,0.5355322344679232,-0.7506072420585109,0.09568057712821598,0.0028413640824051533,0,0,0,0
0.8300000000000006,set_vertical_pregrasp,-0.4020940908295903,0.6050108085660119,0.5469759339468392,0.10220333088190428,-0.02999933105176833,0.5270354890268487,-0.7392028630228589,0.2561481457631552,0.5355273683385607,-0.7506108850844867,0.0956804681209045,0.0031871251289368324,0,0,0,0
0.8360000000000006,set_vertical_pregrasp,-0.4021152684138218,0.6050479380228777,0.5469392059075212,0.10218643770384635,-0.029999372377282795,0.5270447003213089,-0.7392161652883839,0.25616984892554173,0.5355308854676363,-0.7506086539254063,0.09568035005423502,0.0011208698632778158,0,0,0,0
0.8400000000000006,set_vertical_pregrasp,-0.4021292384771761,0.605072383788201,0.5469150488868945,0.10217621101323487,-0.029999401104664807,0.5270507450412352,-0.7392248558623898,0.25618324143127447,0.5355295393968352,-0.750610305613541,0.09568022336708429,0.001158410390410518,0,0,0,0
0.8460000000000006,set_vertical_pregrasp,-0.4021498763919812,0.6051084062726646,0.5468796863203146,0.10216234439671508,-0.029999445274059542,0.5270596038865807,-0.7392375177667446,0.25620174509967114,0.5355281274663583,-0.7506105007519923,0.09568008818816627,0.0022405177585308788,0,0,0,0
0.8500000000000006,set_vertical_pregrasp,-0.4021633753508999,0.6051318961791845,0.5468568761668187,0.10215403372127016,-0.029999475084851596,0.5270653404728812,-0.739245657840891,0.25621304842883696,0.5355294885395443,-0.7506090762550635,0.09567991883074381,0.00036190940189866907,0,0,0,0
0.8560000000000006,set_vertical_pregrasp,-0.40218316309722296,0.6051662041576519,0.5468240618467569,0.10214288288805516,-0.029999519815961224,0.5270736496398536,-0.7392573440020012,0.2562285064762883,0.5355286983797061,-0.750610438508061,0.09568000569489014,0.001787010448181962,0,0,0,0
0.8600000000000007,set_vertical_pregrasp,-0.4021960125391218,0.6051883893396415,0.5468032359979254,0.10213627528076102,-0.02999954937797383,0.5270789730984097,-0.7392647522620845,0.2562378488791428,0.5355302623237703,-0.7506098987747648,0.09567996053599345,0.0007911252912077881,0,0,0,0
0.8660000000000007,set_vertical_pregrasp,-0.4022147227224895,0.6052205386003164,0.546773724477706,0.10212751654661988,-0.02999959293863575,0.5270866103514332,-0.7392752475395739,0.2562504845260741,0.5355282527778731,-0.7506082773971122,0.09568029847304062,0.0018796572866431568,0,0,0,0
0.8700000000000007,set_vertical_pregrasp,-0.402226796264242,0.6052411725246789,0.5467552652759737,0.10212239560558126,-0.029999621263436527,0.5270914602439027,-0.7392818148075038,0.2562580313515423,0.5355294321158975,-0.7506109616942636,0.09568048661755645,0.0017983413931575373,0,0,0,0
0.8760000000000007,set_vertical_pregrasp,-0.40224427433126897,0.6052708622273485,0.5467294710098086,0.10211570675812295,-0.029999662400872335,0.5270983625802189,-0.7392910009235335,0.2562681112304562,0.5355304533364184,-0.7506077327939369,0.09568067269718684,0.001493857485985135,0,0,0,0
0.8800000000000007,set_vertical_pregrasp,-0.40225549064286004,0.6052897871015334,0.5467135606577616,0.10211186092132295,-0.029999688794925202,0.5271027132142894,-0.7392966754507044,0.2562740494189057,0.53552673901092,-0.7506113007299925,0.09568070600555767,0.0037795111914188796,0,0,0,0
0.8860000000000007,set_vertical_pregrasp,-0.4022716443578073,0.6053168392358034,0.5466916347761719,0.10210693188397613,-0.029999726661562847,0.5271088631854528,-0.739304510272977,0.2562818628270972,0.5355337604079483,-0.7506082974508695,0.09568064131233762,0.003967223490244141,0,0,0,0
