time,state,phase,paper_step,unit_motion,paper_condition,q1,q2,q3,q4,peg_x,peg_y,peg_z,hole_x,hole_y,hole_z,alignment_error_xy,insertion_depth,contact_force,peg_speed,velocity_condition_met,spiral_x,spiral_y,spiral_radius,wiggle_x,wiggle_y,screw_angle,failure_reason
3.680000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5213009174626744,-0.8918441865191807,0.5197882176169668,-0.13833774276556363,0.5032183031829498,0.06835530061077728,0.3353234001228288,0.5111,0.0565,0.2371,0.014236196728332868,0.0,0.0,0.017965690493180655,1,0.0,0.0,0.0,0.0,0.0,0.0,
3.700000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5213383343597956,-0.8918115770064783,0.5197797534164946,-0.13792667833427602,0.5032189646570522,0.06835394219069053,0.334913846966275,0.5111,0.0565,0.2371,0.01423469927806786,0.0,0.0,0.02047779717744821,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.720000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.521380505672711,-0.8917748239331346,0.5197702137038472,-0.13746338158617774,0.503219716462091,0.0683524168959163,0.3344522532199664,0.5111,0.0565,0.2371,0.014233012854362294,0.0,0.0,0.023079843931782782,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.740000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5214275720279229,-0.8917338047405713,0.519759566667437,-0.13694630758949586,0.5032205633917044,0.06835072172830349,0.33393707952027857,0.5111,0.0565,0.2371,0.014231132307228165,0.0,0.0,0.025758859239738526,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.760000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5214796510074032,-0.8916884169539414,0.5197477857086557,-0.13637416458114437,0.5032215101812464,0.06834885484527628,0.3333670387246714,0.5111,0.0565,0.2371,0.014229053481122045,0.0,0.0,0.02850223194414545,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.780000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5215368378070092,-0.8916385776083078,0.5197348492929326,-0.13574590673333325,0.5032225615213828,0.06834681553777151,0.3327410887048274,0.5111,0.0565,0.2371,0.014226773188969578,0.0,0.0,0.03129771123556348,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.800000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5215992058948979,-0.8915842226748231,0.5197207408007921,-0.1350607269201772,0.5032237220665594,0.06834460420350165,0.33205842514004413,0.5111,0.0565,0.2371,0.014224289185137235,0.0,0.0,0.03413340664023044,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.820000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5216668076699416,-0.8915253064869082,0.5197054483789114,-0.13431804948430476,0.5032249964383251,0.06834222231552325,0.3313184743108805,0.5111,0.0565,0.2371,0.014221600137349862,0.0,0.0,0.036997788007989765,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.840000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5217396751201429,-0.8914618011664314,0.5196889647911782,-0.13351752300346711,0.5032263892235695,0.06833967238616953,0.33052088589305106,0.5111,0.0565,0.2371,0.014218705597576278,0.0,0.0,0.039879685500456744,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.860000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.52181782048105,-0.891393696049888,0.5196712872697486,-0.1326590130571472,0.5032279049678027,0.06833695792645943,0.32966552575156405,0.5111,0.0565,0.2371,0.014215605971913979,0.0,0.0,0.042768289579336254,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.880000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5219012368941718,-0.8913209971145789,0.5196524173661046,-0.13174259499316845,0.5032295481636624,0.06833408340114897,0.32875246873509234,0.5111,0.0565,0.2371,0.01421230248951448,0.0,0.0,0.04565315099521086,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.900000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5219898990653931,-0.8912437264047899,0.5196323608021121,-0.130768546694304,0.5032313232348935,0.06833105417965059,0.32778199147056386,0.5111,0.0565,0.2371,0.014208797170610694,0.0,0.0,0.04852418077689311,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.920000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5220837639233893,-0.8911619214579708,0.5196111273210781,-0.12973734134488527,0.5032332345160819,0.06832787648307458,0.3267545651579554,0.5111,0.0565,0.2371,0.014205092793707236,0.0,0.0,0.05137165022148594,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.940000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5221827712780424,-0.8910756347309147,0.519588730538809,-0.12864964019741132,0.5032352862284841,0.06832455732770103,0.3256708483652777,0.5111,0.0565,0.2371,0.01420119286200844,0.0,0.0,0.05418619088494419,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.960000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5222868444788551,-0.8909849330259366,0.5195651877946684,-0.1275062853391575,0.5032374824523158,0.0683211044652093,0.32453167982372455,0.5111,0.0565,0.2371,0.014197101569159562,0.0,0.0,0.056958794573859606,0,0.0,0.0,0.0,0.0,0.0,0.0,
3.980000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5223958910733673,-0.8908898969170532,0.519540520002634,-0.12630829245878447,0.503239827095899,0.06831752632003872,0.3233380712229716,0.5111,0.0565,0.2371,0.014192823764394867,0.0,0.0,0.059680813337869114,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.000000000000003,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5225098034655695,-0.8907906201761614,0.519514751502356,-0.12505684361294725,0.5032423238620956,0.06831383192425455,0.32209120000660074,0.5111,0.0565,0.2371,0.014188364917168184,0.0,0.0,0.06234395946312352,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.020000000000002,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5226284595743197,-0.8906872091992177,0.519487909910215,-0.12375327999290393,0.5032449762124761,0.06831003085033491,0.32079240216762733,0.5111,0.0565,0.2371,0.014183731081363199,0.0,0.0,0.06494030546678142,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.040000000000002,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5227517234917575,-0.8905797824324174,0.5194600259703789,-0.12239909469112492,0.5032477873296823,0.06830613314229796,0.31944316504410564,0.5111,0.0565,0.2371,0.014178928859175625,0.0,0.0,0.06746228409261479,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.060000000000001,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5228794461417193,-0.8904684697983736,0.5194311334058614,-0.12099592546790165,0.503250760078464,0.0683021492455972,0.31804512011478947,0.5111,0.0565,0.2371,0.014173965364751831,0.0,0.0,0.06990268830765686,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.080000000000001,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.523011465938154,-0.890353412122296,0.5194012687695796,-0.11954554751795564,0.5032538969658684,0.06829808993622719,0.3166000357948248,0.5111,0.0565,0.2371,0.014168848187679686,0.0,0.0,0.07225467129990519,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.1000000000000005,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5231476094435374,-0.8902347605581706,0.5193704712954113,-0.11804986623704736,0.5032572001010694,0.06829396624948307,0.315109810231446,0.5111,0.0565,0.2371,0.014163585356420556,0.0,0.0,0.07451174647735544,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.12,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5232876920272884,-0.8901126760149385,0.5193387827492528,-0.11651090998858524,0.5032606711553181,0.06828978940880794,0.3135764640996579,0.5111,0.0565,0.2371,0.014158185301764515,0.0,0.0,0.07666778746783644,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.14,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5234315185241828,-0.8899873285826749,0.5193062472800773,-0.11493082287023465,0.5032643113224976,0.06828557075517352,0.312002133397872,0.5111,0.0565,0.2371,0.014152656820397387,0.0,0.0,0.07871702812037294,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.159999999999999,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5235788838927696,-0.8898588969587683,0.5192729112709921,-0.11331185748052669,0.5032681212807499,0.06828132167741423,0.31038906224348217,0.5111,0.0565,0.2371,0.014147009038653801,0.0,0.0,0.08065406250723274,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.179999999999999,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5237295738737856,-0.8897275678740999,0.5192388231902959,-0.11165636768546733,0.5032721011556353,0.06827705354394437,0.3087395956683517,0.5111,0.0565,0.2371,0.01414125137654159,0.0,0.0,0.08247384492735006,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.199999999999998,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5238833656485706,-0.8895935355192223,0.5192040334425373,-0.10996680138514622,0.503276250485267,0.06827277763625444,0.30705617241419086,0.5111,0.0565,0.2371,0.014135393512102063,0.0,0.0,0.0841716899107487,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.219999999999998,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5240400284974828,-0.8894570009705386,0.5191685942195724,-0.10824569328034563,0.5032805681878474,0.06826850508458285,0.30534131772781015,0.5111,0.0565,0.2371,0.014129445346182438,0.0,0.0,0.08574327222376393,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.2399999999999975,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5241993244583133,-0.889318171616482,0.5191325593516218,-0.10649565763914953,0.5032850525320134,0.06826424680612848,0.30359763615622204,0.5111,0.0565,0.2371,0.01412341696767799,0.0,0.0,0.08718462687558648,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.259999999999997,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5243610089847022,-0.8891772605836944,0.5190959841583296,-0.10471938106355237,0.5032897011103684,0.06826001344616345,0.3018278043415799,0.5111,0.0565,0.2371,0.014117318619317388,0.0,0.0,0.08849214912545784,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.279999999999997,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5245248316045531,-0.8890344861632058,0.5190589252998196,-0.10291961525606812,0.5032945108165611,0.06825581532236165,0.3000345638159354,0.5111,0.0565,0.2371,0.014111160664036641,0.0,0.0,0.08966259449083297,0,0.0,0.0,0.0,0.0,0.0,0.0,
4.299999999999996,REACHING_PUSH,reaching_pushing,reaching,pushing,contact near estimated hole plane,-0.5246905365784483,-0.8888900712366131,0.5190214406277543,-0.10109916978633922,0.5032994778262381,0.06825166237265481,0.2982207137958018,0.5111,0.0565,0.2371,0.01410495355200514,0.0,0.0,0.09069307875625465,0,0.0,0.0,0.0,0.0,0.0,0.0,
