time,state,phase,paper_step,unit_motion,paper_condition,q1,q2,q3,q4,peg_x,peg_y,peg_z,hole_x,hole_y,hole_z,alignment_error_xy,insertion_depth,contact_force,peg_speed,velocity_condition_met,spiral_x,spiral_y,spiral_radius,wiggle_x,wiggle_y,screw_angle,failure_reason
15.799999999999752,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.38274491030101665,0.1942176896271615,0.1652911717191122,0.1313650978607322,0.1040018625769257,-0.980846706288345,0.18680474317224402,0.0983017899,-0.9704570878,0.1909713723,0.011850527450522896,0.0041666291277559775,7.399954953307175,0.020851508551072505,0,-0.01030894191662426,0.0015701573479915093,0.010427831871380761,0.0,0.0,0.0,
15.819999999999752,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.3825879176466696,0.1947038755380769,0.16445335704250053,0.13161583119887918,0.10392673333632885,-0.9812576888923736,0.18680474472883676,0.0983017899,-0.9704570878,0.1909713723,0.012177560207959662,0.004166627571163234,7.399953085395882,0.02088965674737303,0,-0.010382466152075581,0.0011587720794811645,0.010446930464551788,0.0,0.0,0.0,
15.839999999999751,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.38241596617786583,0.1951892181902599,0.16360090364720856,0.13187128278930227,0.10386802663669759,-0.9816721074389864,0.18680474619308415,0.0983017899,-0.9704570878,0.1909713723,0.012520369679518757,0.004166626106915844,7.399951328299014,0.020927804970920366,0,-0.010439550084367009,0.0007440149683246211,0.010466029057722814,0.0,0.0,0.0,
15.85999999999975,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.3822293158635677,0.19567289882986635,0.16273517508280688,0.1321310613985937,0.10382589720348133,-0.9820893047409319,0.18680474755528073,0.0983017899,-0.9704570878,0.1909713723,0.01287727581677431,0.004166624744719266,7.399949693663121,0.020965953227533012,0,-0.010480041549870764,0.00032654397639669163,0.010485127650893841,0.0,0.0,0.0,
15.87999999999975,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.3820282499863536,0.19615410268651465,0.16185755879399175,0.13239476672355585,0.10380047342481787,-0.9825086167295496,0.18680474880632256,0.0983017899,-0.9704570878,0.1909713723,0.013246692796538886,0.0041666234936774404,7.39994819241293,0.02100410152336935,0,-0.010503814755651384,-9.297615533766971e-05,0.010504226244064867,0.0,0.0,0.0,
15.89999999999975,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.3818130745343295,0.1966320205018268,0.16096946367646997,0.1326619899880939,0.1037918570486006,-0.9829293735118037,0.1868047499377706,0.0983017899,-0.9704570878,0.1909713723,0.013627132793548545,0.004166622362229394,7.399946834675275,0.021042249865045142,0,-0.010510770578318918,-0.0005138749652700671,0.010523324837235897,0.0,0.0,0.0,
15.91999999999975,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.38158411756438404,0.19710585002546305,0.1600723176055203,0.13293231456053028,0.10380012292203437,-0.9833509004405381,0.18680475094191243,0.0983017899,-0.9704570878,0.1909713723,0.014017206227722213,0.004166621358087569,7.399945629705085,0.021080398259575098,0,-0.01050083682033831,-0.0009354773426545817,0.010542423430406924,0.0,0.0,0.0,
15.939999999999749,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.38134172853922016,0.19757479747496928,0.15916756494309467,0.13320531659051077,0.10382531877424522,-0.9837725191962343,0.18680475181182085,0.0983017899,-0.9704570878,0.1909713723,0.014415619462667726,0.004166620488179146,7.399944585814977,0.02111854671398113,0,-0.010473968423228562,-0.0013571046104604726,0.01056152202357795,0.0,0.0,0.0,
15.959999999999749,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.38108627764054465,0.1980380789560212,0.15825666402924657,0.13348056566461403,0.10386746504245498,-0.9841935488785609,0.18680475254140058,0.0983017899,-0.9704570878,0.1909713723,0.01482117076192571,0.004166619758599416,7.399943710319301,0.02115669523605868,0,-0.010430147637154273,-0.0017780756178348161,0.010580620616748977,0.0,0.0,0.0,
15.979999999999748,SEARCHING_SPIRAL,searching_rubbing_spiral,searching,pushing + rubbing / Archimedes spiral,alignment or stopped-contact condition,0.3808181550607703,0.19849492183988854,0.15734108466365615,0.13375762547967862,0.10392655474214602,-0.9846133071059214,0.18680475312543918,0.0983017899,-0.9704570878,0.1909713723,0.015232745142185826,0.0041666191745608205,7.399943009472986,0.02119484383327493,0,-0.0103693841464823,-0.002197707840416615,0.010599719209920004,0.0,0.0,0.0,
