time,phase,q1,q2,q3,q4,dq1,dq2,dq3,dq4,force_normal,force_filtered,force_error,force_integral,task_force_saturated,task_fx,task_fy,task_fz,tau1,tau2,tau3,tau4,tau_bias1,tau_bias2,tau_bias3,tau_bias4,tau_pd1,tau_pd2,tau_pd3,tau_pd4,tau_force1,tau_force2,tau_force3,tau_force4,saturated,contact_count,shaft_x,shaft_y,shaft_z
4.001999999999781,torque_hybrid_force_control,-0.8028658717511514,-0.7941995318513505,0.48908753048316533,0.1547358717001006,-0.0008478629887004259,-0.0001242256380960617,-0.0028918194605368408,0.002238149833041588,0.6310760515680391,0.6310760515680391,2.368923948431961,0.004737847896863922,False,-0.014072309031208175,-0.01656366785139772,-2.3783003348355147,0.06997648779217742,-0.026444800026623153,-4.248533698250525,-24.05118316372432,-2.5687452151278993e-06,-2.1549239600952772e-06,-4.740645913911768,-26.701991522191,0.06404198158156943,-0.02382267074482384,0.13441389565281786,0.27241053602754517,0.005937074955823131,-0.0026199743578392176,0.35769832000842555,2.378397822439133,False,5,0.516481834206911,0.18602253584765316,0.14172199037913905
4.003999999999781,torque_hybrid_force_control,-0.8028676190496151,-0.7941997147092762,0.48908250856727326,0.1547433758789149,-0.0008736492318279325,-9.142896284681517e-05,-0.002510957946039602,0.0037520894071458857,0.6822842746255044,0.6387572850266588,2.3612427149733413,0.009460333326810604,False,-0.014082744559913742,-0.01657595088405067,-2.3800639985924428,0.06993740278007082,-0.02626155182512496,-4.248533020073194,-24.20631053637795,-9.729867884218208e-06,1.1348185880788264e-06,-4.740682953895753,-26.70199255269471,0.06400567554570291,-0.023640746219822453,0.1341819125959537,0.11552047490555295,0.005941457102252135,-0.002621940423890584,0.357968021226606,2.380161541411207,False,5,0.5164825490384584,0.18602482002905124,0.14171522525181737
4.005999999999781,torque_hybrid_force_control,-0.802869472994153,-0.7941997746441671,0.489078723737885,0.1547536097664928,-0.0009269722689557354,-2.996744546001258e-05,-0.0018924146941202277,0.005116943788954749,0.6942130923524025,0.6470756561255204,2.35292434387448,0.014166182014559565,False,-0.014089213458138697,-0.01658356503474371,-2.381157279217556,0.07060943624437241,-0.02682891686965272,-4.252563414832782,-24.35047672666612,-1.423346220956693e-05,3.3943876355072035e-06,-4.740713068069805,-26.701992477267286,0.06467950373764139,-0.02420914342322607,0.1300133276933531,-0.029739101340979734,0.005944165968940585,-0.002623167834062155,0.3581363255436707,2.3812548519421455,False,5,0.516483027445448,0.18602679992181537,0.14170554820922163
4.007999999999781,torque_hybrid_force_control,-0.8028714707471096,-0.7941996737400079,0.48907651838262006,0.15476630855222664,-0.000998876478327098,5.045207963874629e-05,-0.0011026776324857945,0.0063493928669260315,0.7064899224468034,0.6559877960737128,2.344012203926287,0.01885420642241214,False,-0.014091958273948692,-0.01658679579220428,-2.3816211687146884,0.07179232151764316,-0.027927954828589605,-4.259630174101445,-24.485129671728345,-1.4774250613360604e-05,4.005417763577027e-06,-4.740732798141762,-26.70199176010742,0.06586179175048845,-0.02530825854927582,0.12289359502137913,-0.16485666079725558,0.005945304017768059,-0.002623701697077364,0.35820902901893803,2.3817187491763274,False,5,0.5164832070409545,0.1860283972183186,0.141693173626089
4.00999999999978,torque_hybrid_force_control,-0.8028736356516856,-0.7941993889981857,0.48907613131191646,0.1547812347902836,-0.001082452287947237,0.0001423709111081046,-0.00019353535179473212,0.007463119028474702,0.7190452556972514,0.6654464150172436,2.3345535849827566,0.02352331359237765,False,-0.014091245874417877,-0.016585957269600795,-2.381500769138548,0.07332992478843813,-0.029388800317547936,-4.268954179062296,-24.611408165879293,-1.0857007971648601e-05,2.7098527966390855e-06,-4.740740006849688,-26.701990883267882,0.06739579787396706,-0.02676791850016352,0.11359317870296284,-0.2910156206952844,0.005944983922442719,-0.002623591670181054,0.35819264908442944,2.3815983380838737,False,5,0.5164830414359834,0.1860295549259831,0.1416783037911295
4.01199999999978,torque_hybrid_force_control,-0.8028759804340706,-0.7941989088215675,0.4890777207530579,0.15479817370692184,-0.001172391192498898,0.00024008830908291904,0.0007947205707173714,0.008469458319109195,0.7318189165357467,0.6754022902450191,2.324597709754981,0.028172509011887614,False,-0.014087355727728599,-0.016581378412107578,-2.3808433122028627,0.07510078188663698,-0.031080034482810784,-4.279924937932278,-24.73021185938773,-2.492745416436395e-06,-5.182249220785751e-07,-4.740733479652436,-26.701990251540856,0.06915995099624246,-0.028456626485279787,0.10271443699095811,-0.40916246090301844,0.0059433236358109424,-0.0026228897726089163,0.3580941047291999,2.3809408530561442,False,5,0.5164824970445082,0.18603023298214705,0.1416611302062636
4.01399999999978,torque_hybrid_force_control,-0.8028785097100715,-0.7941982302647345,0.4890813823448045,0.15481692952098663,-0.0012646380004080488,0.0003392784165330448,0.0018307958733132504,0.00937790703240288,0.744758348896948,0.6858056990428084,2.3141943009571917,0.032800897613802,False,-0.01408057143721866,-0.016573393032141517,-2.379696728486173,0.0770106705161974,-0.032900369930115796,-4.292063952269681,-24.842255630252563,1.0002524919157854e-05,-5.560281632395864e-06,-4.740712646746653,-26.70199016033527,0.07106022516437632,-0.030273160843002522,0.09072821062949886,-0.5200596970260009,0.005940442826901918,-0.0026216488054808767,0.3579204838474729,2.3797942271087082,False,5,0.5164815505503895,0.18603040478563787,0.14164183461069083
4.01599999999978,torque_hybrid_force_control,-0.8028812219479455,-0.7941973568832595,0.4890871632287157,0.154837322552425,-0.0013561189370097384,0.0004366907374344178,0.0028904419555846584,0.010196515719179844,0.7578172771556231,0.6966074357597306,2.3033925642402693,0.03740768274228254,False,-0.01407117471145315,-0.016562332711896603,-2.378108628339644,0.07898678186474048,-0.034772143870745696,-4.304996131868207,-24.94811178046568,2.6140693974587455e-05,-1.2213047650579517e-05,-4.740677387605883,-26.701990795159453,0.0730241808268445,-0.03214000959707149,0.07800237965861713,-0.624327058100189,0.0059364603439213785,-0.0026199212260236285,0.3576788760790593,2.3782060727939633,False,5,0.5164801868933531,0.18603005444693993,0.14162058979306286
4.0179999999997795,torque_hybrid_force_control,-0.8028841110058188,-0.7941962970516239,0.4890950730920356,0.15485918694352693,-0.0014445289366413993,0.000529915817841159,0.003954931659942441,0.010932195550968872,0.7709546574907925,0.7077595190193898,2.29224048098061,0.04199216370424376,False,-0.014059441150884125,-0.016548521844074657,-2.3761255898085656,0.08097314745025218,-0.03663622438321794,-4.318427482017531,-25.048242752818126,4.534877747459472e-05,-2.022887228661846e-05,-4.740627892638008,-26.701992245314923,0.07499630623056328,-0.03399823715028655,0.06482415595846605,-0.7224734776361469,0.005931492442214305,-0.0026177583606447744,0.3573762546620106,2.376222970132942,False,5,0.5164783976625466,0.1860291746023205,0.14159756024081935
4.019999999999779,torque_hybrid_force_control,-0.8028871673360747,-0.7941950626479872,0.48910509282886555,0.15488236885646461,-0.001528165127933727,0.0006172018183201839,0.005009868414981599,0.011590956468845583,0.7841338541079996,0.7192156692826812,2.280784330717319,0.0465537323656784,False,-0.014045637381971223,-0.016532274258631238,-2.3737926742824254,0.08292705026637254,-0.038448020932969375,-4.332127679493173,-25.143026472037207,6.702551808709882e-05,-2.9342669686275748e-05,-4.740564564725295,-26.701994522497056,0.07693437316872528,-0.03580346839388885,0.0514174904405816,-0.8149219318194861,0.005925651579560149,-0.002615209869394254,0.35701939479154104,2.3738899822793353,False,5,0.5164761798106244,0.18602776467114984,0.14157290266469738
4.021999999999779,torque_hybrid_force_control,-0.8028903789288339,-0.79419366802635,0.4891171813396239,0.15490672504097652,-0.0016057963796012626,0.0006973108185882605,0.006044255379180087,0.012178092255959193,0.7973219895471495,0.7309316173223515,2.2690683826776485,0.051091869131033696,False,-0.014030019184448335,-0.016513891018493963,-2.3711531099923127,0.08481620730962222,-0.04017435781764855,-4.345916459390429,-25.232775950519056,9.057743738331977e-05,-3.92895829931735e-05,-4.740487948842198,-26.701997579598423,0.07880658424269273,-0.03752274483890819,0.03795667043371505,-0.9020287099536073,0.005919045629546182,-0.0026123233957471817,0.35661481901805364,2.371250339032976,False,5,0.5164735346203488,0.18602582946208912,0.1415467664278123
4.023999999999779,torque_hybrid_force_control,-0.8028937320508464,-0.7941921292140439,0.48913128087439217,0.1549321216896267,-0.0016765610062295104,0.0007694061530476566,0.007049767384148354,0.01269832432507965,0.8104894297818606,0.7428652891912778,2.2571347108087223,0.05560613855265114,False,-0.014012830344963955,-0.016493659070251576,-2.3682480982696115,0.08661655640352836,-0.041791022028671646,-4.359652973051197,-25.317754436661573,0.00011544109906588232,-4.9816236517424846e-05,-4.740398681591255,-26.702001327569068,0.08058933790380973,-0.03913206144019445,0.02457694600266555,-0.9840983522081228,0.005911777400652738,-0.0026091443519597685,0.35616876253739366,2.368345243115618,False,5,0.5164704668705374,0.18602337805439756,0.1415192939020294
4.025999999999779,torque_hybrid_force_control,-0.8028972118237937,-0.7941904632860599,0.48914732123655624,0.15495843351643424,-0.0017398864736725428,0.0008329639920059988,0.00802018108203358,0.013155913403771048,0.8236093737026076,0.7549769018679773,2.2450230981320227,0.060096184748915184,False,-0.013994302036955104,-0.016471850514240875,-2.365116708741165,0.08831051634188802,-0.0432808383144206,-4.3732274628102745,-25.39818710098708,0.0001410961405104754,-6.068757455023552e-05,-4.740297454967255,-26.702005649561208,0.08226547582461757,-0.04061443493719971,0.011382839161584349,-1.0613952168091705,0.005903944376759983,-0.0026057158026706563,0.35568715299539666,2.365213765383297,False,5,0.516466984159773,0.1860204228966899,0.14149062076913158
