time,state,phase,q1,q2,q3,q4,peg_x,peg_y,peg_z,hole_x,hole_y,hole_z,alignment_error_xy,insertion_depth,contact_force,spiral_x,spiral_y,spiral_radius,wiggle_x,wiggle_y,screw_angle,failure_reason
0.0,APPROACH_HOLE,approach_hole,0.0,0.0,0.0,0.0,0.4818423716777644,-0.707888252739565,0.321148108758203,0.0983017899,-0.9704570878,0.1909713723,0.46480724070889845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.02,APPROACH_HOLE,approach_hole,2.7869559094870535e-06,3.2047064850317253e-06,-1.414406597004832e-06,7.295176805871962e-07,0.48183978612282996,-0.707891627272326,0.3211477450127155,0.0983017899,-0.9704570878,0.1909713723,0.46480320094501615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,APPROACH_HOLE,approach_hole,2.196021441634596e-05,2.525193933394661e-05,-1.114501741358267e-05,5.748338045706221e-06,0.48182199784523483,-0.707914842613334,0.321145242606642,0.0983017899,-0.9704570878,0.1909713723,0.46477540856849514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.06,APPROACH_HOLE,approach_hole,7.29928044416421e-05,8.393405613576307e-05,-3.704454160351035e-05,1.9106703918262654e-05,0.4817746466123882,-0.7079766318237921,0.3211385823436709,0.0983017899,-0.9704570878,0.1909713723,0.46470143275509473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,APPROACH_HOLE,approach_hole,0.00017037997491099025,0.0001959190702149605,-8.646945568506557e-05,4.459891299049907e-05,0.4816842645920273,-0.7080945381087659,0.3211258734641024,0.0983017899,-0.9704570878,0.1909713723,0.46456025376851623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,APPROACH_HOLE,approach_hole,0.00032765956517112594,0.00037677407447032327,-0.0001662903417209328,8.576865001421705e-05,0.481538242558425,-0.7082849334704138,0.32110535181585487,0.0983017899,-0.9704570878,0.1909713723,0.4643322271305639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12000000000000001,APPROACH_HOLE,approach_hole,0.000557432375406478,0.000640988665213786,-0.00028290222549810995,0.00014591431899099952,0.4813247924377417,-0.7085630358568948,0.32107537823020027,0.0983017899,-0.9704570878,0.1909713723,0.46399904624493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,APPROACH_HOLE,approach_hole,0.0008713825370557408,0.0010019983660092785,-0.0004422349147078147,0.00022809437536243295,0.48103290738277377,-0.7089429252561963,0.3210344370368624,0.0983017899,-0.9704570878,0.1909713723,0.46354370398118855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,APPROACH_HOLE,approach_hole,0.001280297883228444,0.001472208051511568,-0.0006497633371253897,0.0003351326582003289,0.48065232044165196,-0.709437559122683,0.3209811346604644,0.0983017899,-0.9704570878,0.1909713723,0.4629504536734049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.18,APPROACH_HOLE,approach_hole,0.0017940903191215269,0.0020630153713051065,-0.0009105178787902099,0.000469623722396947,0.48017346276583645,-0.7100587874671915,0.320914198247205,0.0983017899,-0.9704570878,0.1909713723,0.46220476993813886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.19999999999999998,APPROACH_HOLE,approach_hole,0.0024218161924359103,0.0027848341737428755,-0.001229094722185589,0.0006339381708552169,0.47958742218984557,-0.7108173678897879,0.3208324742771407,0.0983017899,-0.9704570878,0.1909713723,0.4612933096693694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.21999999999999997,APPROACH_HOLE,approach_hole,0.003171696663793064,0.0036471179297852246,-0.001609666184418683,0.0008302279866789594,0.47888590290832955,-0.7117229807884026,0.3207349271234946,0.0983017899,-0.9704570878,0.1909713723,0.46020387352283953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.23999999999999996,APPROACH_HOLE,approach_hole,0.004051138077151587,0.004658383156838727,-0.002055991055400402,0.0010604318653631103,0.47806118687524257,-0.7127842449366532,0.3206206375260303,0.0983017899,-0.9704570878,0.1909713723,0.45892536815944146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25999999999999995,APPROACH_HOLE,approach_hole,0.005066752330223774,0.005826232842595017,-0.002571424936025312,0.0013262805469839423,0.4771060974547704,-0.7140087335902157,0.3204888009507162,0.0983017899,-0.9704570878,0.1909713723,0.45744776947642457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
